event_id,discipline,category,athlete_id,rank,qualification_rank,qualification_score,semi_final_rank,semi_final_score,final_rank,final_score
1371,lead,youth b female,16047,36,36,32.69,,,,
1371,lead,youth b female,15507,36,36,32.69,,,,
1371,lead,youth b female,14383,38,38,33.97,,,,
1371,lead,youth b female,15620,39,39,38.24,,,,
1371,lead,youth b female,15468,40,40,39.3,,,,
1371,lead,youth b female,14305,41,41,39.74,,,,
1371,lead,youth b female,15451,42,42,39.95,,,,
1371,lead,youth b female,14734,43,43,40.62,,,,
1371,lead,youth b female,15452,44,44,41.02,,,,
1371,lead,youth b female,15464,44,44,41.02,,,,
1371,lead,youth b female,16071,46,46,43.75,,,,
1371,lead,youth b female,15470,47,47,45.03,,,,
1371,lead,youth b female,15393,48,48,45.96,,,,
1371,lead,youth b female,14358,49,49,46.15,,,,
1371,lead,youth b female,15988,50,50,46.4,,,,
1371,lead,youth b female,15364,51,51,48.69,,,,
1371,lead,youth b female,14635,52,52,48.74,,,,
1371,lead,youth b female,15395,53,53,48.91,,,,
1371,lead,youth b female,15387,54,54,50.07,,,,
1371,lead,youth b female,15467,55,55,53.35,,,,
1371,lead,youth b female,15624,56,56,54.5,,,,
1371,lead,youth b female,14631,57,57,56.55,,,,
1371,lead,youth b female,15740,58,58,57.63,,,,
1371,lead,youth b female,15838,59,59,58.09,,,,
1371,lead,youth b female,15696,60,60,58.16,,,,
1371,lead,youth b female,15899,61,61,58.36,,,,
1371,lead,youth b female,15976,62,62,59.47,,,,
1371,lead,youth b female,14477,63,63,60.75,,,,
1371,lead,youth b female,14246,64,64,61.34,,,,
1371,lead,youth b female,15463,65,65,61.87,,,,
1371,lead,youth b female,15977,66,66,61.99,,,,
1371,lead,youth b female,14608,67,67,62.0,,,,
1371,lead,youth b female,15435,68,68,64.75,,,,
1371,lead,youth b female,15657,69,69,66.74,,,,
1371,lead,youth b female,15458,70,70,68.25,,,,
1371,lead,youth b female,15974,71,71,69.75,,,,
1379,lead,youth b female,16355,1,1,1.41,,,1,TOP
1379,lead,youth b female,14161,2,3,3.16,,,2,33+
1379,lead,youth b female,15500,3,2,2.45,,,3,29+
1379,lead,youth b female,15936,4,4,5.2,,,4,29+
1379,lead,youth b female,15937,5,8,7.75,,,5,29+
1379,lead,youth b female,15605,6,6,7.35,,,6,25+
1379,lead,youth b female,14425,7,9,8.66,,,7,25+
1379,lead,youth b female,16384,8,10,10.25,,,8,25+
1379,lead,youth b female,15600,9,6,7.35,,,9,22+
1379,lead,youth b female,16095,10,5,6.61,,,10,20.0
1379,lead,youth b female,16047,11,11,11.22,,,,
1379,lead,youth b female,14292,12,12,11.62,,,,
1379,lead,youth b female,16373,13,13,13.23,,,,
1379,lead,youth b female,14676,14,14,13.75,,,,
1379,lead,youth b female,15592,15,15,14.0,,,,
1379,lead,youth b female,15504,16,16,14.49,,,,
1379,lead,youth b female,14679,17,17,19.34,,,,
1379,lead,youth b female,16071,18,18,19.8,,,,
1379,lead,youth b female,14675,18,18,19.8,,,,
1379,lead,youth b female,14247,20,20,22.21,,,,
1379,lead,youth b female,14358,21,21,22.76,,,,
1379,lead,youth b female,15507,22,22,23.07,,,,
1379,lead,youth b female,14359,23,23,23.1,,,,
1379,lead,youth b female,14306,24,24,25.65,,,,
1379,lead,youth b female,15452,24,24,25.65,,,,
1379,lead,youth b female,16096,26,26,25.79,,,,
1379,lead,youth b female,15643,27,27,26.77,,,,
1379,lead,youth b female,15593,28,28,27.57,,,,
1379,lead,youth b female,14246,29,29,27.87,,,,
1379,lead,youth b female,15393,30,30,27.98,,,,
1379,lead,youth b female,15451,31,31,28.58,,,,
1379,lead,youth b female,15470,32,32,28.62,,,,
1379,lead,youth b female,15997,33,33,29.62,,,,
1379,lead,youth b female,15381,33,33,29.62,,,,
1379,lead,youth b female,16374,35,35,30.76,,,,
1379,lead,youth b female,15620,36,36,31.61,,,,
1379,lead,youth b female,16045,37,37,32.62,,,,
1379,lead,youth b female,15499,38,38,35.1,,,,
1379,lead,youth b female,15884,39,39,36.21,,,,
1379,lead,youth b female,16370,39,39,36.21,,,,
1379,lead,youth b female,15374,41,41,36.5,,,,
1379,lead,youth b female,14477,42,42,37.6,,,,
1379,lead,youth b female,15899,43,43,38.99,,,,
1379,lead,youth b female,15130,44,44,42.99,,,,
1379,lead,youth b female,14610,45,45,44.5,,,,
1379,lead,youth b female,16368,46,46,44.99,,,,
1379,lead,youth a female,13312,1,1,1.41,,,1,38+
1379,lead,youth a female,12791,2,5,5.92,,,2,25+
1379,lead,youth a female,14163,3,9,8.94,,,3,24+
1379,lead,youth a female,13322,4,2,2.0,,,4,23+
1379,lead,youth a female,13339,5,3,2.45,,,5,23+
1379,lead,youth a female,14695,6,4,5.61,,,6,23+
1379,lead,youth a female,13385,7,6,6.78,,,7,23+
1379,lead,youth a female,14770,8,7,7.94,,,8,23+
1379,lead,youth a female,12852,9,10,9.17,,,9,23+
1379,lead,youth a female,14282,10,7,7.94,,,10,23.0
1379,lead,youth a female,13333,11,11,9.95,,,,
1379,lead,youth a female,12794,12,12,11.68,,,,
1379,lead,youth a female,13698,13,13,14.49,,,,
1379,lead,youth a female,15493,14,14,14.97,,,,
1379,lead,youth a female,14200,15,15,15.2,,,,
1379,lead,youth a female,16073,16,16,15.72,,,,
1379,lead,youth a female,12622,17,17,16.75,,,,
1379,lead,youth a female,14424,17,17,16.75,,,,
1379,lead,youth a female,15644,19,19,17.23,,,,
1379,lead,youth a female,12624,20,20,20.11,,,,
1379,lead,youth a female,12424,20,20,20.11,,,,
1379,lead,youth a female,14317,22,22,20.48,,,,
1379,lead,youth a female,12422,22,22,20.48,,,,
1379,lead,youth a female,15975,24,24,22.74,,,,
1379,lead,youth a female,14516,25,25,22.8,,,,
1379,lead,youth a female,16367,26,26,23.25,,,,
1392,boulder,women,910,1,7,3T5z 3 6,2,4T4z 11 11,1,3T4z 7 6
1392,boulder,women,1270,2,16,3T4z 3 5,1,4T4z 8 7,2,3T4z 7 7
1392,boulder,women,4320,3,1,5T5z 7 5,6,3T3z 5 5,3,3T4z 8 8
1392,boulder,women,13321,4,2,4T5z 6 7,5,3T3z 4 4,4,2T4z 3 9
1392,boulder,women,11783,5,9,3T5z 4 6,3,4T4z 19 19,5,1T4z 7 19
1392,boulder,women,13436,6,3,4T5z 7 8,4,3T4z 3 10,6,1T3z 1 10
1392,boulder,women,742,7,5,3T5z 3 5,7,3T3z 5 5,,
1392,boulder,women,3161,8,14,3T5z 10 11,8,3T3z 5 5,,
1392,boulder,women,1038,9,18,3T4z 5 4,9,3T3z 5 5,,
1392,boulder,women,11786,10,12,3T5z 6 12,10,3T3z 6 4,,
1392,boulder,women,1181,11,5,3T5z 3 5,11,3T3z 6 6,,
1392,boulder,women,13992,12,4,4T5z 10 12,12,3T3z 7 5,,
1392,boulder,women,1164,13,7,3T5z 3 6,13,3T3z 12 12,,
1392,boulder,women,2001,14,13,3T5z 9 12,14,3T3z 13 5,,
1392,boulder,women,16302,15,10,3T5z 4 10,15,2T3z 3 3,,
1392,boulder,women,14556,16,15,3T5z 11 13,16,2T3z 5 7,,
1392,boulder,women,4165,17,10,3T5z 4 10,17,2T3z 8 11,,
1392,boulder,women,13971,18,17,3T4z 4 10,18,2T2z 5 5,,
1392,boulder,women,3882,19,20,3T4z 7 12,19,1T1z 1 1,,
1392,boulder,women,2811,20,19,3T4z 7 7,20,0T4z 0 12,,
1392,boulder,women,2229,21,21,3T4z 11 9,,,,
1392,boulder,women,14989,22,22,3T3z 11 8,,,,
1392,boulder,women,12386,23,23,2T5z 3 8,,,,
1392,boulder,women,15950,24,24,2T5z 3 10,,,,
1392,boulder,women,1041,25,25,2T5z 3 13,,,,
1392,boulder,women,1453,26,26,2T4z 3 5,,,,
1392,boulder,women,13019,27,27,2T4z 3 6,,,,
1392,boulder,women,13403,28,28,2T4z 3 7,,,,
1392,boulder,women,1039,29,29,2T4z 3 8,,,,
1392,boulder,women,13852,29,29,2T4z 3 8,,,,
1392,boulder,women,12232,31,31,2T4z 4 9,,,,
1392,boulder,women,15946,32,32,2T4z 5 10,,,,
1392,boulder,women,2908,33,33,2T4z 7 9,,,,
1392,boulder,women,11549,34,34,2T4z 8 12,,,,
1392,boulder,women,16322,35,35,2T3z 2 5,,,,
1392,boulder,women,13456,36,36,2T3z 3 4,,,,
1392,boulder,women,12859,37,37,2T3z 7 4,,,,
1392,boulder,women,1447,38,38,2T3z 8 8,,,,
1392,boulder,women,16321,39,39,2T3z 11 4,,,,
1392,boulder,women,3845,40,40,2T2z 4 3,,,,
1392,boulder,women,743,41,41,2T2z 17 13,,,,
1392,boulder,women,15739,42,42,1T2z 2 2,,,,
1392,boulder,women,4215,43,43,1T2z 3 7,,,,
1392,boulder,women,2230,44,44,1T2z 4 5,,,,
1392,boulder,women,4224,45,45,1T2z 15 4,,,,
1392,boulder,women,1536,46,46,1T1z 1 1,,,,
